Data Source in SDW: null
,IVF.Q.AT.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.BE.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.CY.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.CZ.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.DE.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.EE.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.ES.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.FI.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.FR.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.GR.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.HU.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.IE.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.IT.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.LT.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.LU.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.LV.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.MT.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.NL.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.PL.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.PT.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.RO.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.SI.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.SK.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.U2.N.T0.A52.A.1.Z5.0000.Z01.E
2014Q2,43348,37978,40,1390,253013,142,27819,18300,237293,420,2464,166360,31249,77,344252,15,1767,80535,3061,2076,335,159,1082,1245847
2014Q1,40796,35089,36,1196,240183,132,24286,16557,231192,394,2251,156053,27958,74,324957,18,1690,77008,2571,1992,297,156,920,1179417
2013Q4,40131,32786,30,1118,234475,142,21766,16035,229087,347,2047,121779,26083,77,316206,18,1559,74178,2295,1942,219,168,864,1117578
2013Q3,39908,27814,31,914,225425,141,19705,15233,223231,345,1838,117823,22042,78,297818,15,1580,69988,2164,1841,185,164,732,1063822
2013Q2,38950,24122,31,843,213664,138,18509,14243,219164,334,1627,108769,20908,71,286292,14,1736,68650,2269,1780,185,151,611,1018052
2013Q1,40488,21012,34,802,218022,147,18256,14993,221043,358,1526,107009,20916,80,289287,13,2047,70721,2261,1811,188,162,626,1026932
2012Q4,38735,21267,28,762,203833,141,16370,15328,214260,371,1389,90493,20330,79,268576,12,2486,68462,1938,1673,178,153,585,963091
2012Q3,38404,20096,24,746,185173,140,16083,13745,210364,379,1337,88518,19868,77,260507,12,3407,67342,1852,1702,161,148,546,926447
2012Q2,35891,19517,20,673,166647,132,15283,12334,206866,377,1357,85200,20197,75,248856,11,2764,65729,1760,1704,157,165,467,882149
2012Q1,37592,20310,21,775,167409,139,15750,12423,210069,413,1530,79638,21326,78,253148,8,2739,67916,1891,1818,109,165,455,891330
2011Q4,36215,18030,16,673,149301,129,16492,11255,205146,393,1556,76336,20900,71,234991,10,3349,66697,1726,1759,70,157,393,841559
2011Q3,36176,17568,13,683,140502,124,17913,10866,208370,406,1614,73583,22187,67,229807,7,2716,70102,1789,1656,62,175,376,832540
2011Q2,40150,18759,15,813,150829,144,20945,12801,228046,484,2419,67448,24779,75,251095,13,2822,68659,2316,1787,82,176,519,889458
2011Q1,41146,19226,15,795,146742,147,21639,12802,226783,542,2519,65088,25267,78,252917,12,2979,66883,2287,1748,87,202,517,884642
2010Q4,42353,19070,6,764,144145,146,21420,12625,228045,586,2486,61557,25976,82,249595,12,2881,66447,2068,1735,76,181,531,877152
2010Q3,40010,18137,6,692,133733,135,22017,11944,227296,563,2278,57892,25878,67,230087,10,2685,61502,1893,1782,77,179,495,834206
2010Q2,39124,17178,12,583,120472,130,21955,10852,221277,547,2141,59849,25748,63,217992,9,3141,62536,1592,1797,62,205,465,803151
2010Q1,39301,16218,15,636,116812,133,21526,11168,227049,613,2241,54791,24889,66,211942,6,2849,62504,,1800,85,201,480,792159
2009Q4,37429,15180,12,605,106923,118,19410,9609,217729,546,,50513,23162,59,195083,6,2508,44744,,1730,59,184,450,725212
2009Q3,36615,14792,13,615,96848,112,16629,8912,213525,550,,46861,22428,55,186882,,2474,44266,,1753,52,180,409,693137
2009Q2,33587,13608,12,571,83818,92,15703,7498,198595,512,,47100,22143,46,170418,,3424,38002,,1693,34,154,377,636644
2009Q1,30602,11587,10,555,76170,75,15578,6656,186108,437,,52909,22009,38,161636,,3764,32975,,1697,20,148,323,602608
2008Q4,32804,12517,17,628,61694,75,17902,6916,194138,499,,55878,28905,36,177401,,5194,34928,,1923,21,154,362,630871
